id;sifra_postupka;broj_partije;inn;farmaceutski_oblik_lijeka;pakovanje;trazena_kolicina;procijenjena_vrijednost
1;26604;93091;back-end Avon;digital;Fields Pa'anga;70959;13066
2;35162;51593;Wooden Accounts Bike;Plastic Uzbekistan AGP;sensor Berkshire;65143;80683
3;99873;68460;Awesome Loan;Gold driver;Practical compress;349;29907
4;96522;7259;Chilean Granite;Place synthesizing;Avon experiences;63106;84351
5;95329;108;Bike Vatu mesh;Mouse;Corporate;61628;64450
6;15262;4703;Gabon;Mountain Plastic Car;Auto SCSI maroon;74156;81998
7;67604;66475;Sharable;Rubber Guinea-Bissau monetize;transmitting connecting Balanced;10531;43888
8;37579;48024;bleeding-edge Mobility;Central composite pixel;Delaware Norwegian Tennessee;59685;79547
9;8531;90335;Avon Shoes;navigating Buckinghamshire;tangible Strategist;74988;65108
10;41098;80944;Central supply-chains microchip;compress;Leone Chicken Advanced;14030;55160
