id;sifra_postupka;naziv_ponudjaca;sifra_ponude;atc;trazena_kolicina;procijenjena_vrijednost;naziv_proizvodjaca;zasticeni_naziv;jedinicna_cijena;ponudjena_vrijednost;rok_isporuke;vrsta_postupka;bod_cijena;bod_rok;bod_ukupno;karakteristika_specifikacije;karakteristika_ponude
1;55155;program Berkshire;23615;USB Expressway Koruna;96438;91179;overriding 24/365;Paradigm;14457;45661;41923;Berkshire Fantastic;33151;2571;14939;Guadeloupe wireless Multi-tiered;SMS
2;41366;Tools portals Avon;46533;pixel Plains feed;47436;85777;Account neural Chips;Principal Cheese;23244;23605;98203;Operative;90733;71792;59969;Keyboard lime orchestrate;reboot empower
3;39646;Dakota generate;97935;Tasty Integration;64826;76205;Fantastic Music;Unbranded;25698;54115;43689;Regional;50664;2019;71500;implement;Organized synthesize
4;79501;Dynamic;38235;District Forge;34310;38458;Awesome Union generate;Uruguayo infomediaries;62039;33952;74231;reciprocal Identity;82569;91852;32415;Investor;Account
5;14455;gold input;2294;navigating revolutionary;52011;79881;Borders transmitter Solomon;actuating;85061;66063;34738;Soft;71340;14884;66417;interactive service-desk Quality;Account tangible
6;9147;Bike copying Open-architected;4270;deposit maximize regional;75389;74260;Producer;bus;47727;67964;56047;Regional Human Director;94212;35081;9602;Coordinator hybrid XSS;Fort
7;98706;cross-platform Personal Soap;46170;Principal Card;87119;73943;Leu Extended;transition;25473;67155;65179;Corporate Analyst red;91779;70794;83591;capability Hat transmitting;Djibouti Music reboot
8;37059;Human Forks Assimilated;41270;Sausages;56900;48602;cutting-edge Shore;Object-based Denar payment;53953;57742;78028;static;36487;68518;18485;Shoes reboot Guadeloupe;communities
9;42510;Seamless;92327;Home;43520;43993;pink;Account Cheese reboot;56884;46723;52488;cross-platform;61671;23609;71674;auxiliary;Versatile
10;88774;Wisconsin Saudi;62888;Shirt;95250;99626;markets;Swiss aggregate driver;52468;4694;31718;strategize;74459;12809;50895;SSL strategize Supervisor;Loan
