id;sifra_postupka;sifra_ponude;broj_partije;naziv_proizvodjaca;zasticeni_naziv;ponudjena_vrijednost;rok_isporuke;jedinicna_cijena;naziv_ponudjaca;atc;trazena_kolicina;procijenjena_vrijednost;vrsta_postupka;katekteristika_ponude;karakteristika_specifikacije;bod_cijena;bod_rok;bod_ukupno
1;39290;38437;39033;Mountain;Branding;90053;71087;31331;Outdoors holistic;Tasty Administrator;7463;1825;Account Vermont challenge;solutions compress Cambridgeshire;AI;25646;95822;1403
2;18164;76266;31551;orchestrate Outdoors;red Tennessee;8997;54095;84540;Keyboard SQL;transmitter;28217;98109;superstructure visualize;Zambia payment;deposit calculating;3444;97960;38407
3;76436;41704;18384;microchip;multi-byte;65714;89698;78743;Road olive generation;hacking TCP Unit;6618;42499;payment;hacking;Internal Fantastic;38759;55292;3545
4;15892;55518;2672;Trace protocol Coordinator;Concrete;30867;5857;41157;exploit;Unbranded;4414;61660;Towels Creek;Virginia navigate Fish;wireless;60824;33729;72315
5;47085;73773;66003;target connect;Small Berkshire Accounts;93216;31542;65778;composite Bedfordshire Usability;Handmade;45230;33723;architectures IB Ukraine;Fish Mobility;Account;26301;18293;78869
6;18459;50427;48533;Louisiana Hampshire Interactions;Ngultrum;87076;80320;83462;Concrete card;Metal;74499;72393;generating Handcrafted;Port Cambridgeshire hard;purple analyzer Dollar;83168;14245;74876
7;53034;97699;35941;Gorgeous;intangible Assurance migration;41783;57606;70253;partnerships Harbors Ball;time-frame Ports;1542;76354;Games Account Arizona;up Metal quantifying;Berkshire protocol;95506;1253;51829
8;89398;16030;7715;salmon Towels Michigan;index Computer content;56132;72463;79099;multi-tasking Principal;aggregate;14293;14430;back-end Cotton;hacking;applications;35990;91058;4501
9;91721;12180;61669;Grass-roots;Producer;14445;10391;15488;Generic;Legacy indexing programming;80632;91689;extensible Metical Hat;Buckinghamshire Ramp;Account silver;75111;96360;62914
10;67842;90050;61859;drive Intelligent Corners;Greenland Identity invoice;14887;47996;29380;protocol;purple Estates;5242;38613;Streets;TCP;Supervisor copy;61759;55354;19950
